,exercise_name,crossfit_session_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
167,Squat Snatch,Crossfit,Warm-up,Kettlebell,Upper body,Pull,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
168,Seated Kettlebell Press,Strength,Strength,Barbell,Upper body,Stretch,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
169,Box Handstand Push-Up,Conditioning,Warm-up,Pull-up Bar,Upper body,Pull,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
170,Squat Snatch,Gymnastics,Cardio,Barbell,Full body,Stretch,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
171,Axle Bar Deadlift,Conditioning,Warm-up,Resistance Band,Core,Hold,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
172,Tire Flips,Crossfit,Cardio,Bodyweight,Core,Stretch,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
173,Dumbbell Deadlift,Aerobic Body Building,Cardio,Barbell,Lower body,Stretch,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
174,Barbell Lunges,Gymnastics,Strength,Bodyweight,Core,Pull,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
175,Jerk Balance,Olympic Weightlifting,Warm-up,Dumbbells,Upper body,Stretch,"Lats, Biceps",Start with a lighter weight or progression if you're new to this exercise.
176,Weighted Pistol Squat,Aerobic Body Building,Strength,Barbell,Full body,Push,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
177,Bulgarian Split Squats,Crossfit,Cardio,Medicine Ball,Core,Stretch,"Core, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
178,Handstand Hold,Crossfit,Warm-up,Resistance Band,Upper body,Hold,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
179,Overhead Kettlebell Squats,Gymnastics,Mobility,Kettlebell,Upper body,Pull,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
180,Zercher Squats,Strength,Cardio,Bodyweight,Upper body,Stretch,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
181,Alternating Dumbbell Snatch,Gymnastics,Strength,Resistance Band,Upper body,Push,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
182,Snatch Balance,Conditioning,Mobility,Dumbbells,Full body,Pull,"Chest, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
183,Ring Muscle-Ups,Conditioning,Warm-up,Bodyweight,Core,Pull,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
184,Toes to Rings,Conditioning,Warm-up,Barbell,Upper body,Push,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
185,Kettlebell Turkish Get-Up,Gymnastics,Warm-up,Dumbbells,Upper body,Stretch,"Shoulders, Triceps",Stretch before and after this exercise for better mobility and recovery.
186,Prowler Push/Pull,Gymnastics,Warm-up,Pull-up Bar,Full body,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
187,Pistol Hold,Olympic Weightlifting,Warm-up,Dumbbells,Full body,Hold,"Glutes, Hamstrings",Keep your back straight and hinge at the hips for proper form.
188,Ring Muscle-Ups,Gymnastics,Mobility,Medicine Ball,Core,Pull,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
189,Goblet Squat,Conditioning,Strength,Medicine Ball,Lower body,Pull,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
190,Explosive Push-Ups,Strength,Strength,Barbell,Full body,Pull,"Biceps, Shoulders",Maintain a strong core throughout the exercise for better stability.
191,Bodyweight Squat Hold,Conditioning,Strength,Pull-up Bar,Upper body,Hold,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
192,Scapular Push-Ups,Crossfit,Mobility,Kettlebell,Full body,Pull,"Lats, Biceps",Keep your back straight and hinge at the hips for proper form.
193,Deadlift,Crossfit,Mobility,Barbell,Upper body,Hold,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
194,Lying Leg Raise,Strength,Cardio,Bodyweight,Upper body,Push,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
195,Legless Rope Climb,Aerobic Body Building,Warm-up,Kettlebell,Lower body,Hold,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
196,Double KB Deadlift,Crossfit,Mobility,Bodyweight,Lower body,Pull,"Hamstrings, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
197,Hang Power Clean,Strength,Warm-up,Medicine Ball,Lower body,Stretch,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
198,Handstand Hold,Olympic Weightlifting,Cardio,Resistance Band,Lower body,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
199,Weighted Vest Burpees,Conditioning,Cardio,Resistance Band,Upper body,Push,"Glutes, Hamstrings",Keep your back straight and hinge at the hips for proper form.
200,Box Handstand Push-Up,Gymnastics,Warm-up,Resistance Band,Full body,Push,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
201,Bodyweight Squat Hold,Strength,Strength,Kettlebell,Upper body,Push,"Quads, Glutes",Warm-up adequately before performing this exercise to prevent injury.
202,Plank to Push-up,Olympic Weightlifting,Warm-up,Bodyweight,Lower body,Push,"Hamstrings, Glutes",Stretch before and after this exercise for better mobility and recovery.
203,Front Squat,Gymnastics,Strength,Medicine Ball,Core,Hold,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
204,Lateral Box Jumps,Olympic Weightlifting,Mobility,Medicine Ball,Core,Pull,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
205,Behind the Neck Press,Strength,Cardio,Barbell,Full body,Push,"Chest, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
206,Plank Hold,Crossfit,Mobility,Medicine Ball,Upper body,Stretch,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
207,Chest to Bar Pull-Ups,Olympic Weightlifting,Mobility,Pull-up Bar,Core,Stretch,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
208,Broad Jump Burpees,Conditioning,Strength,Pull-up Bar,Full body,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
209,Inverted Row,Crossfit,Mobility,Pull-up Bar,Upper body,Push,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
210,Rope Climbs with Holds,Crossfit,Warm-up,Dumbbells,Lower body,Stretch,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
211,Lying Leg Raise,Crossfit,Cardio,Resistance Band,Lower body,Push,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
212,Wall Ball Sit-Ups,Gymnastics,Cardio,Pull-up Bar,Core,Pull,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
213,Step-Ups,Strength,Mobility,Kettlebell,Core,Pull,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
214,Bar Muscle-Ups,Olympic Weightlifting,Strength,Bodyweight,Core,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
215,Box Step-Overs,Aerobic Body Building,Strength,Medicine Ball,Upper body,Push,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
216,Dumbbell Overhead Press,Crossfit,Warm-up,Pull-up Bar,Upper body,Pull,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
217,Sled Pull,Strength,Strength,Dumbbells,Core,Pull,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
218,Side Plank Hold,Olympic Weightlifting,Warm-up,Pull-up Bar,Core,Push,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
219,Turkish Get-Up,Strength,Warm-up,Resistance Band,Upper body,Pull,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
220,Reverse Lunges,Gymnastics,Mobility,Pull-up Bar,Full body,Pull,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
221,Ring Dips,Aerobic Body Building,Strength,Kettlebell,Core,Stretch,"Lower Back, Core",Stretch before and after this exercise for better mobility and recovery.
222,Pistol Hold,Crossfit,Cardio,Bodyweight,Core,Push,"Chest, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
223,Cleans,Strength,Cardio,Resistance Band,Lower body,Hold,"Chest, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
224,Jerk Balance,Olympic Weightlifting,Mobility,Kettlebell,Upper body,Pull,"Core, Shoulders",Keep your back straight and hinge at the hips for proper form.
225,Sandbag Carry,Crossfit,Warm-up,Pull-up Bar,Lower body,Pull,"Shoulders, Triceps",Start with a lighter weight or progression if you're new to this exercise.
226,Ring Dips,Aerobic Body Building,Cardio,Dumbbells,Upper body,Stretch,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
227,Alternating Dumbbell Snatch,Aerobic Body Building,Mobility,Medicine Ball,Core,Stretch,"Shoulders, Triceps",Stretch before and after this exercise for better mobility and recovery.
228,Single Arm Kettlebell Press,Gymnastics,Warm-up,Medicine Ball,Core,Push,"Lower Back, Core",Keep your back straight and hinge at the hips for proper form.
229,Single Arm Kettlebell Press,Aerobic Body Building,Mobility,Barbell,Upper body,Push,"Quads, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
230,Deficit Deadlift,Olympic Weightlifting,Cardio,Barbell,Lower body,Push,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
231,Plank Hold,Strength,Cardio,Bodyweight,Upper body,Pull,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
232,Rower Sprints,Conditioning,Cardio,Pull-up Bar,Core,Push,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
233,Ski Erg Sprints,Conditioning,Warm-up,Pull-up Bar,Upper body,Hold,"Upper Chest, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
234,Broad Jumps,Conditioning,Warm-up,Barbell,Upper body,Hold,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
235,Single Arm Overhead Walking Lunges,Strength,Mobility,Bodyweight,Full body,Stretch,"Chest, Triceps",Maintain a strong core throughout the exercise for better stability.
236,Hang Power Snatch,Gymnastics,Strength,Kettlebell,Full body,Stretch,"Lats, Biceps",Start with a lighter weight or progression if you're new to this exercise.
237,Lateral Lunges,Olympic Weightlifting,Cardio,Bodyweight,Core,Pull,"Hamstrings, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
238,Rower Sprints,Crossfit,Strength,Dumbbells,Full body,Pull,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
239,Prowler Push,Olympic Weightlifting,Warm-up,Medicine Ball,Full body,Stretch,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
240,Single Arm Ring Row,Strength,Strength,Dumbbells,Core,Pull,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
241,Alternating Dumbbell Snatch,Gymnastics,Mobility,Pull-up Bar,Upper body,Pull,"Glutes, Hamstrings",Start with a lighter weight or progression if you're new to this exercise.
242,Russian Twists,Olympic Weightlifting,Strength,Resistance Band,Lower body,Pull,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
243,Broad Jump Burpees,Strength,Warm-up,Kettlebell,Upper body,Push,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
244,Straight Leg Deadlift,Strength,Mobility,Pull-up Bar,Core,Hold,"Shoulders, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
245,Banded Squat Jumps,Conditioning,Strength,Medicine Ball,Upper body,Push,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
246,Deficit Deadlift,Olympic Weightlifting,Cardio,Pull-up Bar,Full body,Pull,"Core, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
247,Bear Crawl,Crossfit,Strength,Barbell,Full body,Hold,"Lower Back, Core","Ensure your breathing is controlled, exhaling during the exertion phase."
248,High Pull,Crossfit,Strength,Pull-up Bar,Upper body,Push,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
249,Weighted Sit-Ups,Crossfit,Strength,Resistance Band,Lower body,Push,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
250,Hang Cleans,Conditioning,Cardio,Kettlebell,Lower body,Push,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
251,Kettlebell Clean,Gymnastics,Cardio,Resistance Band,Core,Stretch,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
252,Landmine Squats,Conditioning,Warm-up,Resistance Band,Lower body,Push,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
253,Rope Climbs with Legs,Olympic Weightlifting,Mobility,Pull-up Bar,Lower body,Stretch,"Chest, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
254,Lateral Box Jumps,Crossfit,Cardio,Bodyweight,Lower body,Push,"Lower Back, Core","Focus on controlling the movement to avoid injury, especially when using heavy weights."
255,Turkish Sit-Up,Olympic Weightlifting,Warm-up,Pull-up Bar,Lower body,Push,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
256,Prowler Push,Crossfit,Mobility,Pull-up Bar,Upper body,Push,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
257,Axle Bar Deadlift,Strength,Strength,Bodyweight,Upper body,Pull,"Quads, Glutes",Keep your back straight and hinge at the hips for proper form.
258,Man Makers,Aerobic Body Building,Cardio,Medicine Ball,Upper body,Stretch,"Shoulders, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
259,Ring Rows,Conditioning,Warm-up,Bodyweight,Full body,Push,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
260,Rowing,Crossfit,Cardio,Barbell,Full body,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
261,Pull-ups,Crossfit,Mobility,Resistance Band,Core,Pull,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
262,Floor Press,Olympic Weightlifting,Warm-up,Barbell,Lower body,Push,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
263,Strict L-Sit Pull-Ups,Conditioning,Cardio,Dumbbells,Lower body,Hold,"Lower Back, Core",Stretch before and after this exercise for better mobility and recovery.
264,Thrusters,Strength,Cardio,Resistance Band,Upper body,Stretch,"Shoulders, Triceps",Keep your back straight and hinge at the hips for proper form.
265,Scapular Push-Ups,Conditioning,Mobility,Kettlebell,Full body,Pull,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
266,Weighted Step-Ups,Aerobic Body Building,Mobility,Kettlebell,Lower body,Stretch,"Chest, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
267,Banded Squat Jumps,Gymnastics,Mobility,Barbell,Lower body,Hold,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
268,Seated Kettlebell Press,Aerobic Body Building,Warm-up,Pull-up Bar,Lower body,Pull,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
269,Weighted Pull-Up,Gymnastics,Warm-up,Dumbbells,Core,Hold,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
270,Rope Climbs with Legs,Aerobic Body Building,Mobility,Kettlebell,Full body,Hold,"Glutes, Hamstrings",Keep your back straight and hinge at the hips for proper form.
271,Overhead Lunges,Aerobic Body Building,Strength,Kettlebell,Upper body,Hold,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
272,Hang Power Clean,Aerobic Body Building,Warm-up,Pull-up Bar,Upper body,Stretch,"Hamstrings, Glutes",Stretch before and after this exercise for better mobility and recovery.
273,Box Thrusters,Olympic Weightlifting,Cardio,Kettlebell,Full body,Hold,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
274,Alternating Dumbbell Snatch,Strength,Cardio,Bodyweight,Core,Stretch,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
275,Double KB Deadlift,Aerobic Body Building,Warm-up,Kettlebell,Full body,Pull,"Core, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
276,Bear Crawl,Conditioning,Strength,Pull-up Bar,Core,Push,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
277,Box Handstand Push-Up,Olympic Weightlifting,Strength,Barbell,Full body,Stretch,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
278,Front Squat,Conditioning,Cardio,Kettlebell,Core,Hold,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
279,Plank Hold,Conditioning,Strength,Kettlebell,Upper body,Hold,"Shoulders, Triceps",Start with a lighter weight or progression if you're new to this exercise.
280,V-Bar Pull-Ups,Crossfit,Cardio,Pull-up Bar,Core,Hold,"Shoulders, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
281,Dumbbell Bench Press,Crossfit,Strength,Bodyweight,Full body,Hold,"Chest, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
282,Hollow Rock,Crossfit,Strength,Pull-up Bar,Core,Hold,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
283,Strict Handstand Push-Up,Strength,Cardio,Medicine Ball,Core,Stretch,"Upper Chest, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
284,Kettlebell Figure 8,Olympic Weightlifting,Mobility,Bodyweight,Core,Pull,"Quads, Glutes",Warm-up adequately before performing this exercise to prevent injury.
285,Sumo Deadlift,Conditioning,Mobility,Pull-up Bar,Lower body,Push,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
286,Dragon Flags,Crossfit,Mobility,Kettlebell,Core,Stretch,"Upper Chest, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
287,Inverted Shoulder Press,Strength,Strength,Medicine Ball,Upper body,Pull,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
288,Superman Hold,Crossfit,Cardio,Bodyweight,Full body,Stretch,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
289,Broad Jump Burpees,Conditioning,Strength,Resistance Band,Full body,Hold,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
290,Weighted Wall Balls,Gymnastics,Mobility,Dumbbells,Core,Push,"Lats, Biceps",Start with a lighter weight or progression if you're new to this exercise.
291,Strict Press,Olympic Weightlifting,Mobility,Kettlebell,Upper body,Hold,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
292,Scapular Pull-Up,Strength,Warm-up,Medicine Ball,Full body,Stretch,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
293,High Pull,Gymnastics,Cardio,Bodyweight,Lower body,Pull,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
294,Hang Power Clean,Gymnastics,Warm-up,Barbell,Lower body,Push,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
295,Explosive Push-Ups,Gymnastics,Warm-up,Kettlebell,Core,Hold,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
296,Burpee Box Jumps,Crossfit,Warm-up,Kettlebell,Core,Push,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
297,Single Arm Kettlebell Swings,Conditioning,Cardio,Pull-up Bar,Lower body,Hold,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
298,L-Sit Hold,Crossfit,Cardio,Medicine Ball,Upper body,Hold,"Quads, Glutes",Warm-up adequately before performing this exercise to prevent injury.
299,Prowler Push,Crossfit,Warm-up,Dumbbells,Full body,Pull,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
300,Push Press,Olympic Weightlifting,Warm-up,Resistance Band,Full body,Push,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
301,Decline Push-Ups,Conditioning,Strength,Dumbbells,Full body,Push,"Quads, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
302,Flutter Kicks,Gymnastics,Warm-up,Dumbbells,Upper body,Hold,"Core, Shoulders",Keep your back straight and hinge at the hips for proper form.
303,Box Thrusters,Gymnastics,Cardio,Kettlebell,Full body,Push,"Upper Chest, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
304,One Arm Overhead Squat,Aerobic Body Building,Cardio,Resistance Band,Lower body,Hold,"Upper Chest, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
305,Flutter Kicks,Olympic Weightlifting,Mobility,Dumbbells,Full body,Pull,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
306,Lateral Kettlebell Swing,Strength,Cardio,Barbell,Core,Stretch,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
307,Jump Rope,Aerobic Body Building,Strength,Medicine Ball,Lower body,Push,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
308,Decline Push-Ups,Olympic Weightlifting,Strength,Kettlebell,Core,Push,"Chest, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
309,Landmine Squats,Gymnastics,Cardio,Medicine Ball,Core,Pull,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
310,Lunges,Gymnastics,Cardio,Medicine Ball,Lower body,Hold,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
311,GHD Sit-ups,Aerobic Body Building,Mobility,Pull-up Bar,Lower body,Push,"Core, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
312,Rope Slams,Conditioning,Warm-up,Pull-up Bar,Upper body,Hold,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
313,Landmine Squats,Conditioning,Strength,Resistance Band,Full body,Stretch,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
314,Incline Push-Ups,Olympic Weightlifting,Mobility,Dumbbells,Core,Stretch,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
315,Rope Climbs with Legs,Strength,Strength,Bodyweight,Full body,Push,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
316,Superman Hold,Crossfit,Warm-up,Resistance Band,Core,Push,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
317,Worm Pull,Strength,Strength,Bodyweight,Core,Stretch,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
318,Rope Climbs with Legs,Olympic Weightlifting,Mobility,Barbell,Core,Hold,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
319,Banded Good Mornings,Strength,Cardio,Dumbbells,Lower body,Hold,"Glutes, Hamstrings",Keep your back straight and hinge at the hips for proper form.
320,Split Snatch,Gymnastics,Cardio,Resistance Band,Core,Push,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
321,Pistol Hold,Aerobic Body Building,Strength,Barbell,Lower body,Hold,"Lats, Biceps",Warm-up adequately before performing this exercise to prevent injury.
322,Sled Push,Gymnastics,Strength,Dumbbells,Upper body,Hold,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
323,Floor Press,Gymnastics,Strength,Bodyweight,Lower body,Pull,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
324,Cleans,Strength,Warm-up,Pull-up Bar,Lower body,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
325,Step-Ups,Crossfit,Strength,Resistance Band,Full body,Push,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
326,Box Thrusters,Strength,Mobility,Kettlebell,Full body,Pull,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
327,Ring Muscle-Ups,Olympic Weightlifting,Cardio,Kettlebell,Upper body,Stretch,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
328,Barbell Lunges,Strength,Cardio,Barbell,Core,Pull,"Glutes, Hamstrings",Start with a lighter weight or progression if you're new to this exercise.
329,Farmer Walk with Dumbbells,Strength,Cardio,Bodyweight,Core,Pull,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
330,Weighted Roll-Outs,Crossfit,Warm-up,Barbell,Full body,Stretch,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
331,Weighted Roll-Outs,Gymnastics,Cardio,Pull-up Bar,Upper body,Pull,"Core, Shoulders",Stretch before and after this exercise for better mobility and recovery.
332,Strict Press,Crossfit,Warm-up,Pull-up Bar,Core,Stretch,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
